A,B,E,S,G,n
1,1,1,1,1,5
1,1,1,1,2,4
1,1,1,1,3,6
1,1,1,2,1,5
1,1,1,2,2,3
1,1,1,2,3,1
1,1,2,1,1,15
1,1,2,1,2,22
1,1,2,1,3,10
1,1,2,2,1,9
1,1,2,2,2,18
1,1,2,2,3,6
1,2,1,1,1,31
1,2,1,1,2,25
1,2,1,1,3,27
1,2,1,2,1,47
1,2,1,2,2,49
1,2,1,2,3,65
1,2,2,1,1,24
1,2,2,1,2,36
1,2,2,1,3,21
1,2,2,2,1,29
1,2,2,2,2,40
1,2,2,2,3,34
2,1,1,1,1,7
2,1,1,1,2,5
2,1,1,1,3,2
2,1,1,2,1,7
2,1,1,2,2,1
2,1,1,2,3,6
2,1,2,1,1,26
2,1,2,1,2,38
2,1,2,1,3,29
2,1,2,2,1,23
2,1,2,2,2,29
2,1,2,2,3,23
2,2,1,1,1,24
2,2,1,1,2,11
2,2,1,1,3,14
2,2,1,2,1,38
2,2,1,2,2,21
2,2,1,2,3,36
2,2,2,1,1,51
2,2,2,1,2,47
2,2,2,1,3,28
2,2,2,2,1,34
2,2,2,2,2,59
2,2,2,2,3,65
