LEM: log-linear and event history analysis with missing data.
Developed by Jeroen Vermunt (c), Tilburg University, The Netherlands.
Version 1.0 (September 18, 1997).


*** INPUT ***

  lat 2
man 8
dim 2 2 2 2 2 2 2 2 2 3
lab Y Z A B C D E S T G
mod SG T|SG {SG ST GT} YZ|SGT {SGTYZ} A|Y B|Y E|Y C|Z D|Z
ite 10000
dat [0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 4 0 0 1 0 1 1 0 0 2 1 0 6 3 1 3 1 1 4 4 1 1 1 0 0 0 1 0 2 1 0 0 0 0 0 0 2 3 0 0 2 2 0 3 2 0 4 1 0 1 1 0 1 1 2 1 0 0 0 0 4 7 4 0 4 2 4 2 0 0 3 2 0 1 0 8 1 2 1 0 0 5 3 7 0 1 0 3 5 3 0 0 1 1 2 2 2 0 1 9 4 2 8 3 0 12 6 1 10 3 1 6 2 1 7 3 1 11 6 3 0 1 0 2 10 13 3 2 2 8 21 47 0 3 1 1 11 10 2 1 5 4 13 17 1 1 2 9 7 7 3 3 0 7 11 8 1 4 0 3 7 5 1 9 1 3 6 4 0 0 0 1 0 1 0 0 0 1 0 0 1 3 2 0 0 2 0 3 0 0 0 1 2 1 0 0 0 0 2 1 0 1 0 1 11 6 5 2 4 0 13 7 4 1 1 1 1 1 0 0 0 1 1 0 0 0 0 3 1 5 10 1 0 5 0 2 4 1 4 5 3 2 0 0 1 0 2 0 2 0 0 0 10 17 4 0 3 1 5 7 4 3 5 4 0 0 0 3 0 1 0 2 0 4 2 4 1 3 0 0 2 1 1 1 3 2 0 2 2 1 0 7 0 3 6 0 1 8 4 1 13 7 1 10 4 3 9 8 6 4 6 9 0 1 0 3 4 6 4 0 6 6 4 15 5 7 4 2 7 8 2 6 9 3 15 24 6 1 1 3 4 3 3 4 4 7 5 5 14 8 6 6 9 5 7 6 8 6 17 4]
see 946



*** STATISTICS ***

  Number of iterations = 127
  Converge criterion   = 0.0000009749
  Seed random values   = 946

  X-squared            = 396.6429 (0.0056)
  L-squared            = 397.9029 (0.0049)
  Cressie-Read         = 378.1588 (0.0292)
  Dissimilarity index  = 0.1992
  Degrees of freedom   = 328
  Log-likelihood       = -6220.37133
  Number of parameters = 55 (+1)
  Sample size          = 1156.0
  BIC(L-squared)       = -1915.3897
  AIC(L-squared)       = -258.0971
  BIC(log-likelihood)  = 12828.6423
  AIC(log-likelihood)  = 12550.7427

  Eigenvalues information matrix
    1367.8064  1281.2785  1171.5171  1169.9167  1153.0897  1103.6571
    1041.1323  1030.3172   956.4620   942.5271   869.3792   866.9755
     734.7839   683.2786   642.6619   616.3209   569.1607   557.5895
     482.9129   429.1757   409.4446   381.9021   370.9609   366.6582
     345.7756   328.9366   305.7474   270.7065   262.0670   238.1354
     216.4024   197.4562   176.0347   149.4114   143.3017   108.5779
     102.4926    94.4719    82.9478    64.4535    56.6209    45.7318
      36.9353    33.7942    25.3656    19.3773    13.8362     7.5730
       4.7160     0.0002     0.0001     0.0001     0.0000    -0.0003
      -0.0003

WARNING: 6 (nearly) boundary or non-identified (log-linear) parameters



*** FREQUENCIES ***

  A B C D E S T G     observed  estimated  std. res.
  1 1 1 1 1 1 1 1       0.000      0.112     -0.335
  1 1 1 1 1 1 1 2       0.000      0.114     -0.338
  1 1 1 1 1 1 1 3       0.000      0.067     -0.259
  1 1 1 1 1 1 2 1       0.000      0.098     -0.312
  1 1 1 1 1 1 2 2       0.000      0.154     -0.392
  1 1 1 1 1 1 2 3       1.000      0.150      2.190
  1 1 1 1 1 2 1 1       0.000      0.104     -0.323
  1 1 1 1 1 2 1 2       0.000      0.101     -0.318
  1 1 1 1 1 2 1 3       1.000      0.095      2.942
  1 1 1 1 1 2 2 1       0.000      0.137     -0.370
  1 1 1 1 1 2 2 2       1.000      0.214      1.698
  1 1 1 1 1 2 2 3       0.000      0.309     -0.556
  1 1 1 1 2 1 1 1       0.000      0.750     -0.866
  1 1 1 1 2 1 1 2       1.000      0.779      0.250
  1 1 1 1 2 1 1 3       0.000      0.455     -0.675
  1 1 1 1 2 1 2 1       0.000      0.151     -0.389
  1 1 1 1 2 1 2 2       1.000      0.348      1.104
  1 1 1 1 2 1 2 3       0.000      0.389     -0.624
  1 1 1 1 2 2 1 1       0.000      0.435     -0.659
  1 1 1 1 2 2 1 2       0.000      0.566     -0.752
  1 1 1 1 2 2 1 3       0.000      0.498     -0.705
  1 1 1 1 2 2 2 1       0.000      0.172     -0.415
  1 1 1 1 2 2 2 2       1.000      0.554      0.599
  1 1 1 1 2 2 2 3       0.000      0.531     -0.729
  1 1 1 2 1 1 1 1       4.000      0.781      3.644
  1 1 1 2 1 1 1 2       0.000      0.483     -0.695
  1 1 1 2 1 1 1 3       0.000      0.205     -0.452
  1 1 1 2 1 1 2 1       1.000      0.598      0.520
  1 1 1 2 1 1 2 2       0.000      0.380     -0.616
  1 1 1 2 1 1 2 3       1.000      0.209      1.728
  1 1 1 2 1 2 1 1       1.000      0.646      0.441
  1 1 1 2 1 2 1 2       0.000      0.533     -0.730
  1 1 1 2 1 2 1 3       0.000      0.223     -0.472
  1 1 1 2 1 2 2 1       2.000      0.636      1.710
  1 1 1 2 1 2 2 2       1.000      0.491      0.726
  1 1 1 2 1 2 2 3       0.000      0.236     -0.486
  1 1 1 2 2 1 1 1       6.000      5.190      0.356
  1 1 1 2 2 1 1 2       3.000      3.444     -0.239
  1 1 1 2 2 1 1 3       1.000      1.268     -0.238
  1 1 1 2 2 1 2 1       3.000      0.961      2.079
  1 1 1 2 2 1 2 2       1.000      1.816     -0.606
  1 1 1 2 2 1 2 3       1.000      0.435      0.856
  1 1 1 2 2 2 1 1       4.000      3.188      0.454
  1 1 1 2 2 2 1 2       4.000      2.910      0.639
  1 1 1 2 2 2 1 3       1.000      1.544     -0.438
  1 1 1 2 2 2 2 1       1.000      0.927      0.076
  1 1 1 2 2 2 2 2       1.000      1.443     -0.369
  1 1 1 2 2 2 2 3       0.000      1.227     -1.108
  1 1 2 1 1 1 1 1       0.000      0.144     -0.379
  1 1 2 1 1 1 1 2       0.000      0.382     -0.618
  1 1 2 1 1 1 1 3       1.000      0.286      1.336
  1 1 2 1 1 1 2 1       0.000      0.187     -0.433
  1 1 2 1 1 1 2 2       2.000      0.721      1.505
  1 1 2 1 1 1 2 3       1.000      0.827      0.190
