LEM: log-linear and event history analysis with missing data.
Developed by Jeroen Vermunt (c), Tilburg University, The Netherlands.
Version 1.0 (September 18, 1997).


*** INPUT ***

  lat 2
man 8
dim 2 2 2 2 2 2 2 2 2 3
lab Y Z A B C D E S T G
mod SG T|SG {SG ST GT} Y|SGT {SGT STY GY} 
      Z|SGTY {SGTY TZ GZ YZ} A|Y B|Y E|Y C|Z D|Z
ite 10000
dat [0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 4 0 0 1 0 1 1 0 0 2 1 0 6 3 1 3 1 1 4 4 1 1 1 0 0 0 1 0 2 1 0 0 0 0 0 0 2 3 0 0 2 2 0 3 2 0 4 1 0 1 1 0 1 1 2 1 0 0 0 0 4 7 4 0 4 2 4 2 0 0 3 2 0 1 0 8 1 2 1 0 0 5 3 7 0 1 0 3 5 3 0 0 1 1 2 2 2 0 1 9 4 2 8 3 0 12 6 1 10 3 1 6 2 1 7 3 1 11 6 3 0 1 0 2 10 13 3 2 2 8 21 47 0 3 1 1 11 10 2 1 5 4 13 17 1 1 2 9 7 7 3 3 0 7 11 8 1 4 0 3 7 5 1 9 1 3 6 4 0 0 0 1 0 1 0 0 0 1 0 0 1 3 2 0 0 2 0 3 0 0 0 1 2 1 0 0 0 0 2 1 0 1 0 1 11 6 5 2 4 0 13 7 4 1 1 1 1 1 0 0 0 1 1 0 0 0 0 3 1 5 10 1 0 5 0 2 4 1 4 5 3 2 0 0 1 0 2 0 2 0 0 0 10 17 4 0 3 1 5 7 4 3 5 4 0 0 0 3 0 1 0 2 0 4 2 4 1 3 0 0 2 1 1 1 3 2 0 2 2 1 0 7 0 3 6 0 1 8 4 1 13 7 1 10 4 3 9 8 6 4 6 9 0 1 0 3 4 6 4 0 6 6 4 15 5 7 4 2 7 8 2 6 9 3 15 24 6 1 1 3 4 3 3 4 4 7 5 5 14 8 6 6 9 5 7 6 8 6 17 4]
see 525



*** STATISTICS ***

  Number of iterations = 147
  Converge criterion   = 0.0000009362
  Seed random values   = 525

  X-squared            = 418.1363 (0.0097)
  L-squared            = 424.9414 (0.0051)
  Cressie-Read         = 400.4558 (0.0412)
  Dissimilarity index  = 0.2048
  Degrees of freedom   = 353
  Log-likelihood       = -6233.89059
  Number of parameters = 30 (+1)
  Sample size          = 1156.0
  BIC(L-squared)       = -2064.6692
  AIC(L-squared)       = -281.0586
  BIC(log-likelihood)  = 12679.3628
  AIC(log-likelihood)  = 12527.7812

  Eigenvalues information matrix
    1367.8063  1171.5172  1169.9164  1108.3363  1103.6571  1077.6489
    1013.0457   955.1705   869.3794   866.9755   732.6898   649.9594
     466.2968   445.6879   409.4449   406.8289   381.9023   381.2144
     370.9612   321.9096   253.0966   225.7364   174.6929   143.2064
      79.6146    75.5226    33.8849    29.9933    25.5597     3.8115




*** FREQUENCIES ***

  A B C D E S T G     observed  estimated  std. res.
  1 1 1 1 1 1 1 1       0.000      0.138     -0.371
  1 1 1 1 1 1 1 2       0.000      0.135     -0.367
  1 1 1 1 1 1 1 3       0.000      0.084     -0.290
  1 1 1 1 1 1 2 1       0.000      0.088     -0.296
  1 1 1 1 1 1 2 2       0.000      0.144     -0.379
  1 1 1 1 1 1 2 3       1.000      0.139      2.310
  1 1 1 1 1 2 1 1       0.000      0.108     -0.329
  1 1 1 1 1 2 1 2       0.000      0.123     -0.350
  1 1 1 1 1 2 1 3       1.000      0.106      2.744
  1 1 1 1 1 2 2 1       0.000      0.109     -0.331
  1 1 1 1 1 2 2 2       1.000      0.192      1.842
  1 1 1 1 1 2 2 3       0.000      0.260     -0.510
  1 1 1 1 2 1 1 1       0.000      0.789     -0.888
  1 1 1 1 2 1 1 2       1.000      0.779      0.250
  1 1 1 1 2 1 1 3       0.000      0.487     -0.698
  1 1 1 1 2 1 2 1       0.000      0.165     -0.407
  1 1 1 1 2 1 2 2       1.000      0.454      0.810
  1 1 1 1 2 1 2 3       0.000      0.384     -0.620
  1 1 1 1 2 2 1 1       0.000      0.468     -0.684
  1 1 1 1 2 2 1 2       0.000      0.633     -0.796
  1 1 1 1 2 2 1 3       0.000      0.525     -0.725
  1 1 1 1 2 2 2 1       0.000      0.165     -0.407
  1 1 1 1 2 2 2 2       1.000      0.501      0.704
  1 1 1 1 2 2 2 3       0.000      0.585     -0.765
  1 1 1 2 1 1 1 1       4.000      0.944      3.146
  1 1 1 2 1 1 1 2       0.000      0.647     -0.804
  1 1 1 2 1 1 1 3       0.000      0.222     -0.471
  1 1 1 2 1 1 2 1       1.000      0.457      0.804
  1 1 1 2 1 1 2 2       0.000      0.383     -0.619
  1 1 1 2 1 1 2 3       1.000      0.162      2.078
  1 1 1 2 1 2 1 1       1.000      0.703      0.354
  1 1 1 2 1 2 1 2       0.000      0.550     -0.742
  1 1 1 2 1 2 1 3       0.000      0.250     -0.500
  1 1 1 2 1 2 2 1       2.000      0.555      1.938
  1 1 1 2 1 2 2 2       1.000      0.465      0.785
  1 1 1 2 1 2 2 3       0.000      0.274     -0.524
  1 1 1 2 2 1 1 1       6.000      5.424      0.247
  1 1 1 2 2 1 1 2       3.000      3.759     -0.391
  1 1 1 2 2 1 1 3       1.000      1.287     -0.253
  1 1 1 2 2 1 2 1       3.000      1.019      1.962
  1 1 1 2 2 1 2 2       1.000      1.655     -0.509
  1 1 1 2 2 1 2 3       1.000      0.657      0.424
  1 1 1 2 2 2 1 1       4.000      3.191      0.453
  1 1 1 2 2 2 1 2       4.000      3.031      0.557
  1 1 1 2 2 2 1 3       1.000      1.370     -0.316
  1 1 1 2 2 2 2 1       1.000      0.993      0.007
  1 1 1 2 2 2 2 2       1.000      1.776     -0.583
  1 1 1 2 2 2 2 3       0.000      0.963     -0.982
  1 1 2 1 1 1 1 1       0.000      0.162     -0.403
